Year,School Code,School Name,School Type,School Street,School City,School State,School Zip,School County,School District Name,District Code,Grades,Reported?,K-12 Enrolled,K-12 Exempt,K-12 % Exempt,K-12 Medical Exemption,K-12 % Medical Exemption,K-12 Personal Exemption,K-12 % Personal Exemption,K-12 Religious Exemption,K-12 % Religious Exemption,K-12 Exempt for DT/Td,K-12 Exempt for Pertussis,K-12 exempt for Polio,K-12 exempt for Measles,K-12 Exempt for Mumps,K-12 Exempt for Rubella,K-12 Exempt for Hep B,K-12 Exempt for Varicella
2011,1656,10th Street School,Public School,7204 27th Ave NE,Marysville,WA,98271,SNOHOMISH,Marysville School District,31025,6-8,Yes,181,10,5.5%,0,0.0%,10,5.5%,0,0.0%,4,5,5,6,6,6,5,0
2011,1976,19-21 Transition Academy,Public School,16642 Cleveland Street,Redmond,WA,98052,KING,Lake Washington School District,17414,12-12,No,,,,,,,,,,,,,,,,,
2011,4500,A G West Black Hills High School,Public School,7741 Littlerock Road SW,Tumwater,WA,98512,THURSTON,Tumwater School District,34033,9-12,Yes,858,44,5.1%,0,0.0%,44,5.1%,0,0.0%,17,36,28,35,35,35,31,0
2011,2834,A J West Elementary,Public School,1801 Bay Ave.,Aberdeen,WA,98520,GRAYS HARBOR,Aberdeen School District,14005,K-6,Yes,450,4,0.9%,0,0.0%,4,0.9%,0,0.0%,2,2,3,2,2,2,2,2
2011,1533,A-3 Multiagency Adolescent Prog,Institution,610 E Northfoothills Drive,Spokane,WA,99207,SPOKANE,Spokane School District,32081,9-12,No,,,,,,,,,,,,,,,,,
2011,3209,Abraham Lincoln Elementary,Public School,1224 METHOW ST.,WENATCHEE,WA,98801,CHELAN,Wenatchee School District,4246,K-5,Yes,510,16,3.1%,1,0.2%,13,2.5%,2,0.4%,13,15,15,15,15,15,13,11
2011,8835,Academic Institute,Private School,13400 NE 20th Suite 47,Bellevue,WA,98005,KING,Bellevue School District,17405,6-12,No,,,,,,,,,,,,,,,,,
2011,1483,Academy for Precision Learning ,Private School,5031 University Way NE,Seattle,WA,98105,KING,Seattle Public Schools,17001,K-5,No,,,,,,,,,,,,,,,,,
2011,8826,Academy NW/Family Academy,Private School,23420 Jordan Rd,Arlington,WA,9822,SNOHOMISH,Arlington School District,31016,K-12,Yes,167,42,25.1%,0,0.0%,40,24.0%,2,1.2%,40,40,40,40,40,40,42,40
2011,5063,Academy of Citizenship and Empowerment,Public School,4424 South 188th Street,SeaTac,WA,98188,KING,Highline School District,17401,9-12,No,,,,,,,,,,,,,,,,,
2011,5209,Academy of Const and Engineering,Public School,8301 84th Street NE,Marysville,WA,98270,SNOHOMISH,Marysville School District,31025,9-12,Yes,325,12,3.7%,1,0.3%,11,3.4%,0,0.0%,5,3,3,4,4,5,8,0
2011,8240,Academy Schools/Children’s Academy,Private School,14601 Interurban Ave S  ,Tukwila,WA,98168,KING,Tukwila School District,17406,K-12,Yes,48,6,12.5%,2,4.2%,3,6.3%,1,2.1%,4,4,4,4,4,4,5,5
2011,4247,ACES High School,Public School,9700 Holly Drive,Everett,WA,98204,SNOHOMISH,Mukilteo School District,31006,9-12,Yes,203,9,4.4%,2,1.0%,7,3.4%,0,0.0%,4,4,3,6,6,6,4,0
2011,2585,Acme Elementary,Public School,5200 TURKINGTON RD,Acme,WA,98220,WHATCOM,Mount Baker School District,37507,K-6,Yes,205,11,5.4%,0,0.0%,11,5.4%,0,0.0%,9,9,10,9,9,9,11,6
2011,2156,Adams Elementary,Public School,2909-E 37 Ave,Spokane,WA,99223,SPOKANE,Spokane School District,32081,K-6,Yes,329,25,7.6%,2,0.6%,20,6.1%,3,0.9%,9,9,9,2,2,2,15,6
2011,3259,Adams Elementary,Public School,14707 E 8th Avenue,Spokane Valley,WA,99016,SPOKANE,Central Valley School District,32356,K-5,Yes,432,28,6.5%,2,0.5%,25,5.8%,1,0.2%,16,16,17,18,18,18,14,18
2011,4518,Adams Elementary,Public School,1309 S Camas Ave,Wapato,WA,98951,YAKIMA,Wapato School District,39207,K-5,Yes,3383,8,0.2%,4,0.1%,4,0.1%,0,0.0%,4,4,3,7,7,7,2,4
2011,2138,Adams Elementary School,Public School,6110 28 AV NW,SEATTLE,WA,98107,KING,Seattle Public Schools,17001,K-5,Yes,469,48,10.2%,3,0.6%,44,9.4%,0,0.0%,22,24,30,7,6,6,41,11
2011,2592,Adams Elementary School,Public School,723 S 8th St,Yakima,WA,98901,YAKIMA,Yakima School District,39007,K-5,Yes,652,5,0.8%,2,0.3%,3,0.5%,0,0.0%,3,4,5,4,4,4,3,1
2011,3519,Adelaide Elementary School,Public School,1635 SW 304th ST,Federal Way,WA,98023,KING,Federal Way School District,17210,K-5,Yes,443,24,5.4%,0,0.0%,24,5.4%,0,0.0%,11,11,8,11,11,11,6,12
2011,2227,Adna Elementary School,Public School,P.O. Box 28,Adna,WA,98522,LEWIS,Adna School District,21226,K-5,Yes,259,6,2.3%,2,0.8%,4,1.5%,0,0.0%,3,3,3,3,3,3,3,4
2011,2441,Adna Middle/High School,Public School,P.O. Box 148,Adna,WA,98522,LEWIS,Adna School District,21226,6-12,Yes,355,1,0.3%,0,0.0%,1,0.3%,0,0.0%,0,0,0,0,0,0,1,0
2011,2822,Ahtanum Valley Elementary,Public School,3006 S Wiley Rd,Yakima,WA,98908,YAKIMA,West Valley School District (Yakima),39208,K-4,Yes,253,3,1.2%,2,0.8%,1,0.4%,0,0.0%,3,2,2,2,2,2,3,2
2011,4862,A-I High School,Public School,5214 Steilacoom Blvd SW,Lakewood,WA,98499,PIERCE,Clover Park School District,27400,10-12,Yes,70,2,2.9%,1,1.4%,0,0.0%,1,1.4%,0,2,1,1,1,1,1,0
2011,4265,AIM High School,Public School,1601 Avenue D,Snohomish,WA,98290,SNOHOMISH,Snohomish School District,31201,9-12,No,,,,,,,,,,,,,,,,,
2011,3774,Aki Kurose Middle School,Public School,3928 S GRAHAM ST,Seattle,WA,98118,KING,Seattle Public Schools,17001,6-8,Yes,648,39,6.0%,3,0.5%,36,5.6%,0,0.0%,23,24,28,5,6,5,25,13
2011,3674,Albert Einstein Middle School,Public School,19343 3rd Avenue N.W.,Shoreline,WA,98177,KING,Shoreline School District,17412,7-8,Yes,716,71,9.9%,8,1.1%,62,8.7%,1,0.1%,39,37,24,33,34,34,35,0
2011,1757,ALC,Public School,1601 Avenue D,Snohomish,WA,98290,SNOHOMISH,Snohomish School District,31201,7-12,No,,,,,,,,,,,,,,,,,
2011,4256,Alcott Elementary,Public School,4213 - 228th AVE NE,Redmond,WA,98053,KING,Lake Washington School District,17414,K-6,Yes,720,34,4.7%,3,0.4%,31,4.3%,0,0.0%,15,16,14,19,19,19,17,17
2011,8580,Alcuin School,Private School,216 W Boston,Seattle,WA,98119,KING,Seattle Public Schools,17001,K-1,No,,,,,,,,,,,,,,,,,
2011,1771,Aldercrest Annex Home Exchange,Public School,816 NE 190th,Shoreline,WA,98155,KING,Shoreline School District,17412,K-10,No,,,,,,,,,,,,,,,,,
2011,3200,Alderwood Elementary School,Public School,3400 Hollywood Ave,Bellingham,WA,98225,WHATCOM,Bellingham School District,37501,K-5,Yes,321,25,7.8%,2,0.6%,23,7.2%,0,0.0%,11,11,10,11,11,11,13,13
2011,3560,Alderwood Middle School,Public School,20000 28TH AVE W,LYNNWOOD,WA,98036,SNOHOMISH,Edmonds School District,31015,7-8,Yes,709,46,6.5%,4,0.6%,39,5.5%,3,0.4%,32,35,22,19,19,19,24,0
2011,1825,Alfaretta House,Public School,10903 Gravelly Lake DR SW,Lakewood,WA,98499,PIERCE,Clover Park School District,27400,11-12,No,,,,,,,,,,,,,,,,,
2011,8946,"Alger Learning Center, Inc.",Private School,121 Alder Dr,Sedro-Woolley,WA,98284,WHATCOM,Mount Baker School District,37507,K-12,No,,,,,,,,,,,,,,,,,
2011,2181,Alki Elementary School,Public School,3010 59 AV SW,SEATTLE,WA,98116,KING,Seattle Public Schools,17001,K-5,Yes,355,20,5.6%,3,0.8%,17,4.8%,0,0.0%,10,10,11,5,5,5,15,2
2011,4406,Alki Middle School,Public School,1800 NW BLISS RD,VANCOUVER,WA,98685,CLARK,Vancouver School District,6037,6-8,Yes,733,46,6.3%,3,0.4%,41,5.6%,2,0.3%,24,28,19,24,24,24,20,0
2011,8196,All Saints Catholic School,Private School,3510 E 18th Ave,Spokane,WA,99223,SPOKANE,Spokane School District,32081,K-8,No,,,,,,,,,,,,,,,,,
2011,8128,All Saints School,Private School,504 2nd St SW,Puyallup,WA,98371,PIERCE,Puyallup School District,27003,3-8,No,,,,,,,,,,,,,,,,,
2011,8469,All Saints School,Private School,2323 54th Ave E,Fife,WA,98424,PIERCE,Fife School District,27417,K-2,Yes,130,5,3.8%,0,0.0%,4,3.1%,1,0.8%,5,5,5,5,5,5,5,5
2011,4454,Allen Creek Elementary School,Public School,6505 60TH DR NE,Marysville,WA,98270,SNOHOMISH,Marysville School District,31025,K-5,Yes,497,15,3.0%,2,0.4%,13,2.6%,0,0.0%,8,8,10,10,10,10,7,10
2011,3603,Allen Elementary,Public School,17145 COOK ROAD,BOW,WA,98232,SKAGIT,Burlington-Edison School District,29100,K-8,Yes,313,18,5.8%,4,1.3%,9,2.9%,5,1.6%,9,9,10,12,12,12,13,7
2011,1749,Alliance Academy,Public School,134 Marion Avenue N,Bremerton,WA,98312,KITSAP,Bremerton School District,18100,K-8,No,,,,,,,,,,,,,,,,,
2011,2968,Almira Coulee Hartline High School,Public School,413 N. 4th Street,Coulee City,WA,99115,GRANT,Coulee-Hartline School District,13151,9-12,No,,,,,,,,,,,,,,,,,
2011,2860,Almira Elementary School,Public School,PO BOX 217,ALMIRA,WA,99103,LINCOLN,Almira School District,22017,K-8,Yes,88,7,8.0%,0,0.0%,7,8.0%,0,0.0%,1,1,0,0,0,0,0,6
2011,3825,Alpac Elementary School,Public School,310 MILWAUKEE BLVD N,PACIFIC,WA,98047,KING,Auburn School District,17408,K-5,Yes,446,13,2.9%,0,0.0%,13,2.9%,0,0.0%,6,9,8,8,8,8,8,8
2011,5188,Alt Ed at NV,Public School,3326 E Badger Rd,Everson,WA,98247,WHATCOM,Nooksack Valley School District,37506,7-12,No,,,,,,,,,,,,,,,,,
2011,8219,Alta Vista School,Private School,245 4th St Suite 303,Bremerton,WA,98337,KITSAP,Bremerton School District,18100,7-12,No,,,,,,,,,,,,,,,,,
2011,1567,Alternative Bancroft School,Public School,1025 W Spofford Ave,Spokane,WA,99205,SPOKANE,Spokane School District,32081,3-12,Yes,71,3,4.2%,0,0.0%,3,4.2%,0,0.0%,2,2,2,2,2,2,3,0
2011,2407,Alternative Education Program,Public School,421 S. 4TH AVE,WALLA WALLA,WA,99362,WALLA WALLA,Walla Walla Public Schools,36140,9-12,No,,,,,,,,,,,,,,,,,
2011,3936,Alternative High School,Public School,10120 Frontier Place NW,SILVERDALE,WA,98383,KITSAP,Central Kitsap School District,18401,10-12,Yes,157,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0,0,0,0,0,0,0
2011,1566,Alternative Northeast Community Center Preschool,Public School,4001 N Cook,Spokane,WA,99207,SPOKANE,Spokane School District,32081,K-PK,No,,,,,,,,,,,,,,,,,
2011,1621,Alternative School,Public School,18 Twin Lakes Rd.,Winthrop,WA,98862,OKANOGAN,Methow Valley School District,24350,9-12,Yes,14,2,14.3%,0,0.0%,2,14.3%,0,0.0%,0,2,2,2,2,2,1,0
2011,1514,Alternative Spcl Needs Div Occ,Public School,601 S 8TH ST,TACOMA,WA,98405,PIERCE,Tacoma School District,27010,9-12,No,,,,,,,,,,,,,,,,,
2011,1604,Alternative Tamarack School,Institution,W 2901 Ft George Wright,Spokane,WA,99224,SPOKANE,Spokane School District,32081,7-12,No,,,,,,,,,,,,,,,,,
2011,8343,Amazing Grace Christian School,Private School,10056 Renton Ave S,Seattle,WA,98178,KING,Seattle Public Schools,17001,K-8,No,,,,,,,,,,,,,,,,,
2011,2671,Amboy Middle School,Public School,PO Box 200,Battle Ground,WA,98604,CLARK,Battle Ground School District,6119,5-8,No,,,,,,,,,,,,,,,,,
2011,5233,American Academy,Contract School,621 Signal Peak Rd.,White Swan,WA,98952,YAKIMA,Mount Adams School District,39209,9-12,No,,,,,,,,,,,,,,,,,
